"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 17:48:59 CST 2022","Sat Apr 02 17:49:01 CST 2022","1824","main","testmain","TestMain","","","错误的参数类型修改失败multipart/form-data",""
"passed","Sat Apr 02 17:49:55 CST 2022","Sat Apr 02 17:49:56 CST 2022","800","main","testmain","TestMain","","","错误的请求方式查询失败PUT",""
"passed","Sat Apr 02 17:33:59 CST 2022","Sat Apr 02 17:33:59 CST 2022","770","main","testmain","TestMain","","","输入错误请求方式查询失败DELETE",""
"failed","Sat Apr 02 17:38:39 CST 2022","Sat Apr 02 17:38:41 CST 2022","1582","main","testmain","TestMain","","","输入删除type修改地址失败",""
"passed","Sat Apr 02 17:38:55 CST 2022","Sat Apr 02 17:38:57 CST 2022","1589","main","testmain","TestMain","","","错误的参数请求方式修改默认地址失败",""
"passed","Sat Apr 02 17:49:49 CST 2022","Sat Apr 02 17:49:50 CST 2022","784","main","testmain","TestMain","","","错误的参数类型查询失败multipart/form-data",""
"failed","Sat Apr 02 17:38:12 CST 2022","Sat Apr 02 17:38:14 CST 2022","1586","main","testmain","TestMain","","","缺少contactnumber修改地址失败",""
"passed","Sat Apr 02 17:46:30 CST 2022","Sat Apr 02 17:46:37 CST 2022","6082","main","testmain","TestMain","","","code参数为空修改密码失败",""
"passed","Sat Apr 02 17:36:07 CST 2022","Sat Apr 02 17:36:11 CST 2022","3825","main","testmain","TestMain","","","goodsid不存在新增失败",""
"passed","Sat Apr 02 17:42:13 CST 2022","Sat Apr 02 17:42:17 CST 2022","3660","main","testmain","TestMain","","","输入正确参数添加商品到收藏成功",""
"passed","Sat Apr 02 17:48:09 CST 2022","Sat Apr 02 17:48:10 CST 2022","793","main","testmain","TestMain","","","参数PageNO错误查询失败",""
"passed","Sat Apr 02 17:37:50 CST 2022","Sat Apr 02 17:37:51 CST 2022","807","main","testmain","TestMain","","","参数erea2不填新增失败",""
"passed","Sat Apr 02 17:37:48 CST 2022","Sat Apr 02 17:37:49 CST 2022","790","main","testmain","TestMain","","","参数lastname不填新增失败",""
"passed","Sat Apr 02 17:49:18 CST 2022","Sat Apr 02 17:49:19 CST 2022","798","main","testmain","TestMain","","","参数integral为5000兑换成功",""
"passed","Sat Apr 02 17:37:58 CST 2022","Sat Apr 02 17:37:58 CST 2022","803","main","testmain","TestMain","","","参数erea3参数长度超过限制新增失败",""
"passed","Sat Apr 02 17:37:46 CST 2022","Sat Apr 02 17:37:47 CST 2022","798","main","testmain","TestMain","","","addressLine缺失新增失败",""
"passed","Sat Apr 02 17:49:32 CST 2022","Sat Apr 02 17:49:33 CST 2022","791","main","testmain","TestMain","","","错误URL获取通知列表失败",""
"passed","Sat Apr 02 17:37:36 CST 2022","Sat Apr 02 17:37:37 CST 2022","783","main","testmain","TestMain","","","输入错误的URL新增地址失败",""
"passed","Sat Apr 02 17:34:06 CST 2022","Sat Apr 02 17:34:07 CST 2022","794","main","testmain","TestMain","","","错误的请求方式查询失败PUT",""
"passed","Sat Apr 02 17:41:10 CST 2022","Sat Apr 02 17:41:11 CST 2022","781","main","testmain","TestMain","","","缺失orderid参数发起订单支付失败",""
"passed","Sat Apr 02 17:34:37 CST 2022","Sat Apr 02 17:34:38 CST 2022","861","main","testmain","TestMain","","","输入不存在的商品名称模糊查询失败",""
"passed","Sat Apr 02 17:43:26 CST 2022","Sat Apr 02 17:43:29 CST 2022","2113","main","testmain","TestMain","","","错误URL地址批量删除失败",""
"passed","Sat Apr 02 17:37:31 CST 2022","Sat Apr 02 17:37:32 CST 2022","793","main","testmain","TestMain","","","pageNo参数为非数字查询失败",""
"passed","Sat Apr 02 17:43:47 CST 2022","Sat Apr 02 17:43:48 CST 2022","782","main","testmain","TestMain","","","错误的请求方式DELETE获取验证码失败",""
"passed","Sat Apr 02 17:33:45 CST 2022","Sat Apr 02 17:33:46 CST 2022","800","main","testmain","TestMain","","","userAccount不包含@注册失败",""
"passed","Sat Apr 02 17:42:41 CST 2022","Sat Apr 02 17:42:45 CST 2022","4423","main","testmain","TestMain","","","goodsid参数为空新增失败",""
"passed","Sat Apr 02 17:43:24 CST 2022","Sat Apr 02 17:43:26 CST 2022","2105","main","testmain","TestMain","","","参数正确批量删除收藏列表成功",""
"passed","Sat Apr 02 17:43:03 CST 2022","Sat Apr 02 17:43:05 CST 2022","2105","main","testmain","TestMain","","","错误请求方式（POST）删除商品失败",""
"passed","Sat Apr 02 17:43:24 CST 2022","Sat Apr 02 17:43:24 CST 2022","782","main","testmain","TestMain","","","错误的参数请求方式错误查询失败",""
"passed","Sat Apr 02 17:49:14 CST 2022","Sat Apr 02 17:49:15 CST 2022","803","main","testmain","TestMain","","","错误的请求方式PUT兑换失败",""
"passed","Sat Apr 02 17:48:46 CST 2022","Sat Apr 02 17:48:48 CST 2022","1833","main","testmain","TestMain","","","错误的请求类型修改失败GET",""
"passed","Sat Apr 02 17:43:46 CST 2022","Sat Apr 02 17:43:47 CST 2022","1045","main","testmain","TestMain","","","未登录状态获取验证码失败",""
